GDCode,CN_Join,Index
11A,100,3641
11B,100,3652
11C,100,3663
11D,100,3674
12A,100,3972
12B,100,3984
12C,100,3996
12D,100,4008
21A,39,6951
21B,61,6972
21C,74,6993
21D,80,7014
22A,57,7282
22B,72,7304
22C,81,7326
22D,86,7348
23A,77,7613
23B,85,7636
23C,90,7659
23D,92,7682
24A,89,7944
24B,92,7968
24C,94,7992
24D,95,8016
31A,77,10261
31B,86,10292
31C,91,10323
31D,94,10354
32A,70,10592
32B,81,10624
32C,88,10656
32D,92,10688
41A,30,13571
41B,55,13612
41C,70,13653
41D,77,13694
42A,30,13902
42B,55,13944
42C,70,13986
42D,77,14028
43A,30,14233
43B,55,14276
43C,70,14319
43D,77,14362
51A,33,16881
51B,42,16932
51C,55,16983
51D,62,17034
52A,30,17212
52B,48,17264
52C,65,17316
52D,73,17368
71A,47,23501
71B,62,23572
71C,74,23643
71D,85,23714
72A,47,23832
72B,63,23904
72C,75,23976
72D,85,24048
73A,74,24163
73B,74,24236
73C,74,24309
73D,74,24382
74A,79,24494
74B,79,24568
74C,79,24642
74D,79,24716
81A,39,26811
81B,61,26892
81C,74,26973
81D,80,27054
82A,67,27142
82B,78,27224
82C,85,27306
82D,89,27388
90A,78,29790
90B,78,29880
90C,78,29970
90D,78,30060
95A,78,31445
95B,78,31540
95C,78,31635
95D,78,31730
NAN,0,0
